customer_city,item_revenue,share,cum_share,rank
Poa,9263.46,0.0007034808950755775,0.7155612546736297,204
Mesquita,9146.03,0.0006945630866639555,0.7162558177602937,205
Lins,9143.76,0.0006943906994963289,0.71695020845979,206
Mairipora,9087.380000000001,0.0006901091186545743,0.7176403175784445,207
Barretos,9077.11,0.0006893291996186604,0.7183296467780631,208
Conselheiro Lafaiete,9061.460000000001,0.0006881407154013234,0.7190177874934645,209
Pato Branco,9047.64,0.000687091204098857,0.7197048786975633,210
Parnamirim,9041.54,0.0006866279610492881,0.7203915066586125,211
Jau,8932.66,0.0006783594523218979,0.7210698661109344,212
Vinhedo,8895.12,0.0006755086090299598,0.7217453747199644,213
Dourados,8849.71,0.0006720601062625939,0.722417434826227,214
Mogi Mirim,8833.97,0.0006708647873117387,0.7230882996135387,215
Bage,8806.65,0.0006687900659815377,0.7237570896795202,216
Arapiraca,8728.710000000001,0.0006628711867547488,0.724419960866275,217
Pinhais,8682.82,0.0006593862320752857,0.7250793470983503,218
Lauro De Freitas,8632.98,0.0006556013085358558,0.7257349484068861,219
Ilheus,8520.79,0.000647081433497962,0.7263820298403841,220
Manhuacu,8510.0,0.0006462620248906094,0.7270282918652747,221
Guarapuava,8460.55,0.0006425067185297585,0.7276707985838045,222
Brusque,8421.55,0.000639545000671858,0.7283103435844763,223
Pirassununga,8400.34,0.0006379342818060614,0.7289482778662824,224
Itapecerica Da Serra,8399.01,0.0006378332796329586,0.7295861111459153,225
Avare,8382.97,0.0006366151782370425,0.7302227263241523,226
Lagoa Santa,8378.6,0.0006362833139539906,0.7308590096381063,227
Paracatu,8376.42,0.0006361177615198824,0.7314951273996262,228
Votuporanga,8372.9,0.0006358504474978359,0.732130977847124,229
Francisco Morato,8344.17,0.0006336686486758491,0.7327646464957999,230
Luis Eduardo Magalhaes,8343.869999999999,0.0006336458662307883,0.7333982923620307,231
Jaguariuna,8312.47,0.0006312613036477607,0.7340295536656785,232
Jandira,8260.47,0.0006273123465038933,0.7346568660121824,233
Ubatuba,8195.93,0.0006224110831564856,0.7352792770953389,234
Lajeado,8188.41,0.0006218400032002955,0.7359011170985392,235
Sao Joao Del Rei,8168.07,0.0006202953534251751,0.7365214124519645,236
Itabuna,7874.55,0.0005980050091777142,0.7371194174611422,237
Leme,7858.02,0.0005967496964548657,0.737716167157597,238
Videira,7822.35,0.0005940408637371398,0.7383102080213342,239
Teofilo Otoni,7744.2300000000005,0.0005881083150433143,0.7388983163363775,240
Itauna,7743.95,0.0005880870514279241,0.7394864033878054,241
Alvorada,7702.2,0.0005849164944902998,0.7400713198822957,242
Timoteo,7697.87,0.0005845876678665893,0.7406559075501623,243
Lorena,7650.03,0.0005809546272942314,0.7412368621774565,244
Aruja,7606.78,0.0005776701581313032,0.7418145323355878,245
Trindade,7510.37,0.0005703486397036059,0.7423848809752914,246
Nova Serrana,7447.26,0.0005655559726776545,0.742950436947969,247
Tres Lagoas,7431.32,0.0005643454654300921,0.7435147824133991,248
Fernandopolis,7415.16,0.0005631182510561517,0.7440779006644552,249
Juazeiro,7401.28,0.0005620641832646732,0.7446399648477199,250
Colombo,7386.9,0.0005609721447314269,0.7452009369924513,251
Araguaina,7384.79,0.0005608119082011661,0.7457617489006524,252
Paranagua,7339.46,0.0005573694807524832,0.7463191183814049,253
Francisco Beltrao,7291.58,0.0005537334025207838,0.7468728517839256,254
Camacari,7240.24,0.00054983456675605,0.7474226863506817,255
Campo Mourao,7228.55,0.0005489468108135152,0.7479716331614952,256
Tres Rios,7172.62,0.0005446994036393517,0.7485163325651345,257
Imperatriz,7171.38,0.0005446052361997672,0.7490609378013343,258
Matao,7162.72,0.0005439475829523461,0.7496048853842867,259
Para De Minas,7162.08,0.0005438989804028831,0.7501487843646896,260
Paranavai,7120.95,0.0005407755071850511,0.7506895598718746,261
Ibirite,7112.68,0.0005401474711162091,0.7512297073429908,262
Jacobina,7029.76,0.0005338504033014114,0.7517635577462922,263
Cubatao,6996.03,0.000531288897061745,0.752294846643354,264
Joao Monlevade,6941.9,0.0005271781845579461,0.7528220248279119,265
Itapira,6933.03,0.0005265045835989825,0.7533485294115109,266
Boa Vista,6927.87,0.0005261127255439372,0.7538746421370548,267
Colatina,6866.52,0.0005214537155290092,0.7543960958525838,268
Boituva,6852.15,0.000520362436410598,0.7549164582889945,269
Ponte Nova,6847.89,0.0005200389256907351,0.7554364972146852,270
Unai,6825.39,0.0005183302423111771,0.7559548274569964,271
Pirapora,6803.07,0.0005166352283986554,0.756471462685395,272
Navegantes,6783.17,0.0005151239928762909,0.7569865866782713,273
Eunapolis,6768.62,0.0005140190442908433,0.7575006057225622,274
Patrocinio,6747.54,0.0005124181978179063,0.7580130239203801,275
Lencois Paulista,6720.22,0.0005103434764877052,0.7585233673968678,276
